Date of analysis,Country,Total country population,Level 1,Area,Validity period,From,To,Phase,Number,Percentage
#date+analysis,#country+code,#population,#loc+level1,#loc+area,#period+v_ipc,#date+start,#date+end,#severity+v_ipc,#affected+num,#affected+pct
Aug 2023,SOM,16955266,Lower Juba,Kismaayo (3),current,2023-08-01,2023-09-30,all,70328,1.0
Aug 2023,SOM,16955266,Lower Juba,Kismaayo (3),current,2023-08-01,2023-09-30,3+,7032,0.1
Aug 2023,SOM,16955266,Lower Juba,Kismaayo (3),current,2023-08-01,2023-09-30,1,56262,0.8
Aug 2023,SOM,16955266,Lower Juba,Kismaayo (3),current,2023-08-01,2023-09-30,2,7032,0.1
Aug 2023,SOM,16955266,Lower Juba,Kismaayo (3),current,2023-08-01,2023-09-30,3,7032,0.1
Aug 2023,SOM,16955266,Lower Juba,Kismaayo (3),current,2023-08-01,2023-09-30,4,0,0
Aug 2023,SOM,16955266,Lower Juba,Kismaayo (3),current,2023-08-01,2023-09-30,5,0,0
Aug 2023,SOM,16955266,Lower Juba,Kismaayo (3),projected,2023-10-01,2023-12-31,all,70328,1.0
Aug 2023,SOM,16955266,Lower Juba,Kismaayo (3),projected,2023-10-01,2023-12-31,3+,3516,0.05
Aug 2023,SOM,16955266,Lower Juba,Kismaayo (3),projected,2023-10-01,2023-12-31,1,59778,0.85
Aug 2023,SOM,16955266,Lower Juba,Kismaayo (3),projected,2023-10-01,2023-12-31,2,7032,0.1
Aug 2023,SOM,16955266,Lower Juba,Kismaayo (3),projected,2023-10-01,2023-12-31,3,3516,0.05
Aug 2023,SOM,16955266,Lower Juba,Kismaayo (3),projected,2023-10-01,2023-12-31,4,0,0
Aug 2023,SOM,16955266,Lower Juba,Kismaayo (3),projected,2023-10-01,2023-12-31,5,0,0
Aug 2023,SOM,16955266,Lower Juba,Kismayo IDPS,current,2023-08-01,2023-09-30,all,97725,1.0
Aug 2023,SOM,16955266,Lower Juba,Kismayo IDPS,current,2023-08-01,2023-09-30,3+,29317,0.3
Aug 2023,SOM,16955266,Lower Juba,Kismayo IDPS,current,2023-08-01,2023-09-30,1,39090,0.4
Aug 2023,SOM,16955266,Lower Juba,Kismayo IDPS,current,2023-08-01,2023-09-30,2,29317,0.3
Aug 2023,SOM,16955266,Lower Juba,Kismayo IDPS,current,2023-08-01,2023-09-30,3,19545,0.2
Aug 2023,SOM,16955266,Lower Juba,Kismayo IDPS,current,2023-08-01,2023-09-30,4,9772,0.1
Aug 2023,SOM,16955266,Lower Juba,Kismayo IDPS,current,2023-08-01,2023-09-30,5,0,0
Aug 2023,SOM,16955266,Lower Juba,Kismayo IDPS,projected,2023-10-01,2023-12-31,all,97725,1.0
Aug 2023,SOM,16955266,Lower Juba,Kismayo IDPS,projected,2023-10-01,2023-12-31,3+,48862,0.5
Aug 2023,SOM,16955266,Lower Juba,Kismayo IDPS,projected,2023-10-01,2023-12-31,1,14658,0.15
Aug 2023,SOM,16955266,Lower Juba,Kismayo IDPS,projected,2023-10-01,2023-12-31,2,34203,0.35
Aug 2023,SOM,16955266,Lower Juba,Kismayo IDPS,projected,2023-10-01,2023-12-31,3,29317,0.3
Aug 2023,SOM,16955266,Lower Juba,Kismayo IDPS,projected,2023-10-01,2023-12-31,4,19545,0.2
Aug 2023,SOM,16955266,Lower Juba,Kismayo IDPS,projected,2023-10-01,2023-12-31,5,0,0
Aug 2023,SOM,16955266,Lower Juba,Kismaayo idps rural,current,2023-08-01,2023-09-30,all,26882,1.0
Aug 2023,SOM,16955266,Lower Juba,Kismaayo idps rural,current,2023-08-01,2023-09-30,3+,2688,0.1
Aug 2023,SOM,16955266,Lower Juba,Kismaayo idps rural,current,2023-08-01,2023-09-30,1,18817,0.7
Aug 2023,SOM,16955266,Lower Juba,Kismaayo idps rural,current,2023-08-01,2023-09-30,2,5376,0.2
Aug 2023,SOM,16955266,Lower Juba,Kismaayo idps rural,current,2023-08-01,2023-09-30,3,2688,0.1
Aug 2023,SOM,16955266,Lower Juba,Kismaayo idps rural,current,2023-08-01,2023-09-30,4,0,0
Aug 2023,SOM,16955266,Lower Juba,Kismaayo idps rural,current,2023-08-01,2023-09-30,5,0,0
Aug 2023,SOM,16955266,Lower Juba,Kismaayo idps rural,projected,2023-10-01,2023-12-31,all,26882,1.0
Aug 2023,SOM,16955266,Lower Juba,Kismaayo idps rural,projected,2023-10-01,2023-12-31,3+,5376,0.2
Aug 2023,SOM,16955266,Lower Juba,Kismaayo idps rural,projected,2023-10-01,2023-12-31,1,16129,0.6
Aug 2023,SOM,16955266,Lower Juba,Kismaayo idps rural,projected,2023-10-01,2023-12-31,2,5376,0.2
Aug 2023,SOM,16955266,Lower Juba,Kismaayo idps rural,projected,2023-10-01,2023-12-31,3,4032,0.15
Aug 2023,SOM,16955266,Lower Juba,Kismaayo idps rural,projected,2023-10-01,2023-12-31,4,1344,0.05
Aug 2023,SOM,16955266,Lower Juba,Kismaayo idps rural,projected,2023-10-01,2023-12-31,5,0,0
Aug 2023,SOM,16955266,Lower Juba,Kismaayo (2),current,2023-08-01,2023-09-30,all,35164,1.0
Aug 2023,SOM,16955266,Lower Juba,Kismaayo (2),current,2023-08-01,2023-09-30,3+,5274,0.15
Aug 2023,SOM,16955266,Lower Juba,Kismaayo (2),current,2023-08-01,2023-09-30,1,22856,0.65
Aug 2023,SOM,16955266,Lower Juba,Kismaayo (2),current,2023-08-01,2023-09-30,2,7032,0.2
Aug 2023,SOM,16955266,Lower Juba,Kismaayo (2),current,2023-08-01,2023-09-30,3,5274,0.15
